INFO 2025-05-06 02:36:25,156 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:36:26,903 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:39:06,226 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:39:06,855 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:42:49,494 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:42:49,993 NE_RS_UNBLDRE: Unable to load application resource file /resources/main.js api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:42:50,036 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:43:26,699 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:43:27,234 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:44:00,130 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:44:00,710 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:44:41,547 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:44:42,066 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:45:18,801 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:45:19,335 NE_RS_UNBLDRE: Unable to load application resource file /resources/neutralino.js api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:45:19,366 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:45:43,065 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:45:43,705 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:47:48,247 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:47:48,846 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:48:45,862 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:48:46,454 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:50:00,137 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:50:00,621 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:52:13,871 Reloading the application... api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:52:24,102 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:52:24,586 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:53:30,534 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 02:53:31,065 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:54:30,415 Reloading the application... api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:59:53,504 Reloading the application... api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 02:59:55,352 Reloading the application... api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:00:04,073 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:01:01,367 Reloading the application... api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:01:54,917 Reloading the application... api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:05:52,617 Reloading the application... api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:07:11,937 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:11:04,026 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:11:04,684 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.js api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:11:04,703 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:11:35,127 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:11:35,648 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:12:22,587 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:12:23,140 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:13:35,344 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:13:35,883 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:13:46,133 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
